Property Type,District,Mukim,Scheme Name/Area,Road Name,"Month, Year of Transaction Date",Tenure,Land/Parcel Area,Unit,Main Floor Area,Unit        ,Unit Level,Transaction Price  ,query,latitude,longitude,school,kindergarten,university,hospital,clinic,supermarket,place_of_worship,bus_station,marketplace
Low-Cost House,Kuantan,Sungai Karang,LKNP BALOK BARU, LRG BALOK BARU 6,January 2024,Leasehold,219.00,sq.m,46,sq.m,    ,"RM210,000.00","LRG BALOK BARU 6, Kuantan, Malaysia",,,No,No,No,No,No,No,No,No,No
Low-Cost House,Temerloh,Mentakab,TMN TUALANG INDAH,LRG TUALANG INDAH 2/3,July 2024,Freehold,92.90,sq.m,65,sq.m,    ,"RM170,000.00","LRG TUALANG INDAH 2/3, Temerloh, Malaysia",,,No,No,No,No,No,No,No,No,No
Condominium/Apartment,Kinta,Ulu Kinta,TMN PENGKALAN PUTRI (MANHATTAN AVENUE),   ,October 2024,Freehold,93.00,sq.m,-,-,7,"RM330,000.00","Kinta, Malaysia",4.5833333,101.0833333,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Low-Cost House,Johor Bahru,Pulai,TMN SRI SKUDAI,JLN EMAS 8,January 2024,Freehold,97.00,sq.m,51,sq.m,    ,"RM350,000.00","JLN EMAS 8, Johor Bahru, Malaysia",1.5429399,103.6524739,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Low-Cost Flat,Petaling,Sungai Buluh,DAMANSARA DAMAI - HARMONI,   ,May 2024,Leasehold,60.38,sq.m,-,-,2,"RM128,000.00","Petaling, Malaysia",3.083333,101.583333,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Melaka Tengah,Balai Panjang,TMN POKOK MANGGA,JALAN POKOK MANGGA 10C,May 2024,Freehold,121.00,sq.m,67,sq.m,    ,"RM300,000.00","JALAN POKOK MANGGA 10C, Melaka Tengah, Malaysia",2.2299821,102.2152505,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Terraced,Kinta,Ulu Kinta,BANDAR BARU LAPANGAN,JALAN LAPANGAN,June 2024,Leasehold,143.10,sq.m,192,sq.m,    ,"RM595,000.00","JALAN LAPANGAN, Kinta, Malaysia",4.5449862,101.1114674,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Low-Cost House,Kulim,Padang Serai,TMN PUTERI,LORONG PUTERI 7/D,August 2024,Freehold,111.00,sq.m,74,sq.m,    ,"RM190,000.00","LORONG PUTERI 7/D, Kulim, Malaysia",5.4962322,100.5383834,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Temerloh,Perak,TMN PULAI MUTIARA,JLN PULAI MUTIARA 2/2,September 2024,Freehold,134.00,sq.m,82,sq.m,    ,"RM219,000.00","JLN PULAI MUTIARA 2/2, Temerloh, Malaysia",3.4535242,102.4696549,Yes,No,No,Yes,Yes,No,Yes,No,No
Detached,Petaling,Petaling,KG BARU SRI KEMBANGAN, JLN SK 3/2,January 2024,Leasehold,372.00,sq.m,167,sq.m,    ,"RM525,000.00","JLN SK 3/2, Petaling, Malaysia",3.0236083,101.6990234,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
1 - 1 1/2 Storey Terraced,Larut Matang,Kampung Baru Trong,TAMAN TRONG JAYA (PL 50),TAMAN TRONG JAYA,May 2024,Freehold,130.00,sq.m,90,sq.m,    ,"RM266,000.00","TAMAN TRONG JAYA, Larut Matang, Malaysia",,,No,No,No,No,No,No,No,No,No
Low-Cost House,Tumpat,Periok,CABANG 4 TOK MEK NGAH, OFF JLN CBG 4- CGB 3 BERANGAN,March 2024,Leasehold,92.90,sq.m,59,sq.m,    ,"RM150,000.00","OFF JLN CBG 4- CGB 3 BERANGAN, Tumpat, Malaysia",,,No,No,No,No,No,No,No,No,No
2 - 2 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,TMN SRI SINAR,JLN 34B/38A,May 2024,Freehold,56.00,sq.m,80,sq.m,    ,"RM500,000.00","JLN 34B/38A, Kuala Lumpur, Malaysia",3.1858583,101.6468442,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Low-Cost Flat,Timur Laut,13,BANDAR BARU AIR ITAM,   ,March 2024,Freehold,47.60,sq.m,-,-,9,"RM120,000.00","Timur Laut, Malaysia",5.4103136,100.2870311,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Low-Cost House,Hulu Terengganu,Tanggul,RAKR PEKAN AJIL NO SP HT/3-00,OFF JLN K BERANG (HT/3-00),November 2024,Leasehold,111.00,sq.m,59,sq.m,    ,"RM25,000.00","OFF JLN K BERANG (HT/3-00), Hulu Terengganu, Malaysia",,,No,No,No,No,No,No,No,No,No
Condominium/Apartment,Barat Daya,10,FAIRVIEW RESIDENCE,   ,July 2024,Freehold,84.00,sq.m,-,-,7,"RM666,000.00","Barat Daya, Malaysia",5.3356587,100.2389496,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Semi-Detached,Petaling,Petaling,TAMAN PINGGIRAN PUTRA - SEKSYEN 2,JLN PP 4,September 2024,Leasehold,195.00,sq.m,130,sq.m,    ,"RM623,000.00","JLN PP 4, Petaling, Malaysia",2.9902803,101.6772539,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2 - 2 1/2 Storey Terraced,Kuala Selangor,Ijok,"ALAM PERDANA, IJOK",JALAN AP 1C/26,January 2024,Leasehold,130.06,sq.m,120,sq.m,    ,"RM370,000.00","JALAN AP 1C/26, Kuala Selangor, Malaysia",3.2567956,101.4545466,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No
Low-Cost Flat,Seberang Perai Tengah,6,TMN PAUH,   ,March 2024,Leasehold,56.00,sq.m,-,-,3,"RM180,000.00","Seberang Perai Tengah, Malaysia",5.3610703,100.4573584,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Semi-Detached,Kulim,Kulim,TMN SULAIMAN,TAMAN SULAIAMAN,June 2024,Freehold,299.61,sq.m,154,sq.m,    ,"RM700,000.00","TAMAN SULAIAMAN, Kulim, Malaysia",,,No,No,No,No,No,No,No,No,No
Low-Cost House,Kulim,Bandar Kulim,TMN TIONG FASA 1,JALAN TIONG 8,February 2024,Freehold,111.00,sq.m,74,sq.m,    ,"RM150,000.00","JALAN TIONG 8, Kulim, Malaysia",5.3707262,100.574588,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Condominium/Apartment,Petaling,Bandar Petaling Jaya,KONDOMINIUM BKT UTAMA-CHANGKAT BKT UTAMA,   ,April 2024,Freehold,168.00,sq.m,-,-,12,"RM1,050,000.00","Petaling, Malaysia",3.083333,101.583333,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Condominium/Apartment,Gombak,Bandar Kepong,TAMAN KIP (MEDA PARK),   ,April 2024,Freehold,91.00,sq.m,-,-,15,"RM490,000.00","Gombak, Malaysia",3.3,101.7,Yes,No,No,Yes,No,No,Yes,Yes,No
2 - 2 1/2 Storey Terraced,Kluang,Kluang,TAMAN SRI IMPIAN / BANDAR SRI IMPIAN,SERI IMPIAN,March 2024,Freehold,323.99,sq.m,204,sq.m,    ,"RM967,000.00","SERI IMPIAN, Kluang, Malaysia",1.9961821,103.3651194,Yes,No,No,Yes,Yes,No,Yes,No,No
2 - 2 1/2 Storey Terraced,Timur Laut,13,NIPAH PAVILON,JALAN NIPAH,January 2024,Freehold,137.00,sq.m,145,sq.m,    ,"RM1,800,000.00","JALAN NIPAH, Timur Laut, Malaysia",5.3424294,100.2954889,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Kuala Muda,Bandar Semeling,TMN TASEK INDAH,JLN TASEK INDAH 2,September 2024,Freehold,158.00,sq.m,80,sq.m,    ,"RM225,000.00","JLN TASEK INDAH 2, Kuala Muda, Malaysia",,,No,No,No,No,No,No,No,No,No
1 - 1 1/2 Storey Terraced,Johor Bahru,Tebrau,TMN PELANGI INDAH,JLN PERSONA 13,September 2024,Freehold,164.00,sq.m,138,sq.m,    ,"RM525,000.00","JLN PERSONA 13, Johor Bahru, Malaysia",1.5259428,103.8108482,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
Low-Cost House,Hulu Selangor,Bandar Batang Kali,TAMAN SERI BATANG KALI,JALAN MELOR,June 2024,Leasehold,200.66,sq.m,104,sq.m,    ,"RM250,000.00","JALAN MELOR, Hulu Selangor, Malaysia",3.4311194,101.5620603,Yes,No,No,No,Yes,No,Yes,Yes,Yes
Low-Cost Flat,Johor Bahru,Plentong,TMN JOHOR JAYA,   ,August 2024,Freehold,65.00,sq.m,-,-,5,"RM180,000.00","Johor Bahru, Malaysia",1.4581986,103.7649059,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Condominium/Apartment,Barat Daya,10,THE GOLDEN TRIANGLE,   ,April 2024,Freehold,119.00,sq.m,-,-,20,"RM590,000.00","Barat Daya, Malaysia",5.3356587,100.2389496,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Semi-Detached,Hulu Selangor,Kalumpang,TAMAN TEMPUA BISTARI, JALAN TEMPUA 6C,February 2024,Leasehold,253.00,sq.m,74,sq.m,    ,"RM270,000.00","JALAN TEMPUA 6C, Hulu Selangor, Malaysia",3.6202972,101.5756572,Yes,No,No,No,Yes,No,Yes,No,Yes
Condominium/Apartment,Bahagian Sibu,Bahagian Sibu,HANN'S RESIDENCE,   ,January 2024,Leasehold,51.28,sq.m,-,-,3,"RM378,000.00","Bahagian Sibu, Malaysia",2.2906841,111.8255225,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Seremban,Rantau,TMN IRINGAN BAYU,JALAN IRINGAN BAYU 3,September 2024,Freehold,111.50,sq.m,56,sq.m,    ,"RM100,000.00","JALAN IRINGAN BAYU 3, Seremban, Malaysia",2.6579407,101.897059,Yes,No,Yes,No,Yes,No,Yes,No,No
